                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87461,                 1.0726,                 1.2112,                0.88204,                0.87854,                0.91747,                0.69809,                 0.8621,                0.73941,                  1.301,               0.006634,               0.006634,               0.006634
                     36,                0.86696,                 1.0474,                 1.2014,                0.88892,                0.85435,                0.91714,                0.69923,                0.85037,                0.72687,                 1.3013,               0.006535,               0.006535,               0.006535
                     37,                0.86186,                 1.0451,                 1.1978,                0.89632,                0.87789,                0.92207,                0.70096,                0.85034,                0.73458,                 1.2954,               0.006436,               0.006436,               0.006436
                     38,                  0.857,                 1.0238,                 1.1949,                0.89973,                0.87172,                 0.9199,                0.70123,                0.83831,                0.73733,                 1.2895,               0.006337,               0.006337,               0.006337
                     39,                0.85637,                 1.0233,                 1.1976,                 0.8968,                0.87754,                0.92281,                0.69909,                0.84603,                0.73842,                  1.288,               0.006238,               0.006238,               0.006238
                     40,                0.84991,                 1.0153,                 1.1908,                0.89442,                0.87435,                0.91857,                0.69943,                0.84873,                0.73304,                 1.2943,               0.006139,               0.006139,               0.006139
                     41,                0.84634,                0.99956,                 1.1875,                0.90231,                  0.885,                 0.9241,                0.70146,                0.84983,                0.71173,                 1.3032,                0.00604,                0.00604,                0.00604
                     42,                0.85068,                 1.0032,                 1.1943,                0.89794,                  0.873,                0.91786,                 0.6996,                0.85092,                0.70963,                 1.2939,               0.005941,               0.005941,               0.005941
                     43,                0.83838,                0.97731,                 1.1825,                0.89221,                0.87759,                0.92291,                 0.7012,                0.83945,                0.71007,                 1.2961,               0.005842,               0.005842,               0.005842
                     44,                0.84387,                0.98555,                 1.1846,                0.88796,                0.87467,                0.92115,                0.69881,                0.85235,                0.70301,                 1.2989,               0.005743,               0.005743,               0.005743
                     45,                  0.836,                0.97008,                  1.181,                0.88464,                0.87668,                0.92096,                0.70534,                0.82716,                0.71838,                 1.2758,               0.005644,               0.005644,               0.005644
                     46,                0.82891,                0.96301,                 1.1804,                0.87887,                0.88676,                 0.9236,                0.69979,                0.83765,                0.71292,                 1.2824,               0.005545,               0.005545,               0.005545
                     47,                0.82741,                0.96884,                 1.1802,                0.89519,                0.89394,                0.92961,                 0.7066,                0.83622,                0.69935,                 1.2826,               0.005446,               0.005446,               0.005446
                     48,                0.82404,                0.94089,                 1.1791,                0.87439,                 0.8878,                0.91927,                0.69659,                0.84521,                0.71341,                 1.2883,               0.005347,               0.005347,               0.005347
                     49,                 0.8198,                0.94161,                 1.1732,                0.88613,                0.87281,                 0.9218,                0.70026,                0.84323,                0.70213,                 1.2876,               0.005248,               0.005248,               0.005248
                     50,                0.80685,                0.90753,                 1.1635,                0.89301,                0.89243,                0.92675,                0.70623,                0.83651,                0.69478,                 1.2857,               0.005149,               0.005149,               0.005149
                     51,                0.81207,                0.92931,                  1.169,                0.90101,                0.88328,                 0.9285,                0.70942,                0.83858,                0.68389,                 1.2917,                0.00505,                0.00505,                0.00505
                     52,                0.81306,                0.91442,                 1.1683,                0.91577,                0.88961,                0.93224,                0.70832,                0.84682,                0.68146,                 1.3036,               0.004951,               0.004951,               0.004951
                     53,                0.80088,                0.90302,                 1.1625,                 0.8971,                0.88328,                0.92955,                0.71008,                0.85312,                0.67403,                 1.3054,               0.004852,               0.004852,               0.004852
                     54,                0.80523,                 0.8993,                 1.1605,                0.89096,                0.87944,                0.92565,                0.70655,                0.83922,                0.68429,                 1.2924,               0.004753,               0.004753,               0.004753
                     55,                0.80561,                0.88817,                 1.1656,                0.89736,                0.89129,                0.93039,                0.70764,                0.84568,                 0.6795,                 1.2947,               0.004654,               0.004654,               0.004654
                     56,                 0.7957,                0.87907,                 1.1597,                0.88746,                0.87738,                0.92252,                0.70328,                0.84008,                 0.6907,                 1.2894,               0.004555,               0.004555,               0.004555
                     57,                0.78362,                0.87514,                 1.1528,                0.90148,                0.88418,                0.92801,                0.70335,                0.84785,                0.68502,                 1.3037,               0.004456,               0.004456,               0.004456
                     58,                0.79245,                 0.8759,                 1.1527,                0.89654,                0.88763,                0.92747,                0.70399,                0.83942,                0.68091,                 1.2968,               0.004357,               0.004357,               0.004357
                     59,                0.77531,                0.85492,                 1.1416,                0.90172,                0.88297,                0.92782,                0.70637,                 0.8436,                0.67213,                 1.3015,               0.004258,               0.004258,               0.004258
