                  epoch,               box_loss,               cls_loss,               dfl_loss,              precision,                 recall,                  mAP50,               mAP50-95,               box_loss,               cls_loss,               dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79295,                0.84284,                 1.1484,                0.94612,                  0.901,                0.95715,                0.78841,                0.69432,                0.49555,                 1.1641,               0.006535,               0.006535,               0.006535
                     37,                 0.7968,                0.84487,                 1.1517,                0.92186,                0.90442,                 0.9536,                0.78634,                0.68325,                0.49921,                  1.153,               0.006436,               0.006436,               0.006436
                     38,                0.78113,                0.82774,                  1.143,                0.94259,                0.90756,                0.95488,                0.79005,                0.69088,                0.48738,                 1.1603,               0.006337,               0.006337,               0.006337
                     39,                0.78548,                0.83059,                 1.1465,                0.93225,                0.89979,                0.95156,                0.79063,                0.68075,                0.50061,                 1.1486,               0.006238,               0.006238,               0.006238
                     40,                0.76874,                0.81088,                 1.1315,                0.94112,                0.90719,                0.95679,                0.79633,                 0.6835,                0.47127,                 1.1559,               0.006139,               0.006139,               0.006139
                     41,                0.78414,                0.82089,                 1.1443,                 0.9455,                0.90241,                0.95282,                0.79267,                0.68138,                0.47748,                 1.1528,                0.00604,                0.00604,                0.00604
                     42,                0.76516,                0.80318,                 1.1332,                0.94331,                0.91025,                0.95415,                0.79523,                0.67716,                0.47325,                 1.1448,               0.005941,               0.005941,               0.005941
                     43,                0.77068,                0.80077,                 1.1344,                0.92825,                0.91912,                0.95579,                0.79582,                0.67204,                0.47517,                 1.1465,               0.005842,               0.005842,               0.005842
                     44,                 0.7654,                0.79094,                 1.1325,                 0.9314,                0.91305,                0.95626,                0.79262,                0.68926,                0.46712,                 1.1563,               0.005743,               0.005743,               0.005743
                     45,                0.76067,                 0.7856,                 1.1298,                0.94862,                0.90942,                0.95846,                0.79592,                0.68038,                0.45711,                 1.1486,               0.005644,               0.005644,               0.005644
                     46,                0.75865,                0.77412,                 1.1284,                0.92403,                 0.9169,                0.95385,                0.79591,                0.68236,                0.46891,                 1.1538,               0.005545,               0.005545,               0.005545
                     47,                0.76243,                0.78434,                 1.1304,                0.92676,                 0.9147,                0.95792,                0.79956,                0.67215,                0.45424,                 1.1422,               0.005446,               0.005446,               0.005446
                     48,                0.75174,                0.76102,                  1.124,                0.92994,                0.91739,                0.95353,                0.79478,                0.67667,                 0.4655,                 1.1518,               0.005347,               0.005347,               0.005347
                     49,                0.74672,                0.74697,                 1.1222,                 0.9361,                0.91959,                0.95983,                0.80363,                 0.6756,                0.45114,                 1.1519,               0.005248,               0.005248,               0.005248
                     50,                0.75543,                0.76681,                 1.1294,                0.93685,                0.92647,                0.96041,                0.80193,                 0.6787,                0.45023,                 1.1499,               0.005149,               0.005149,               0.005149
                     51,                  0.749,                0.75916,                 1.1204,                0.92472,                0.91278,                0.95581,                 0.7987,                0.68103,                0.44949,                 1.1561,                0.00505,                0.00505,                0.00505
                     52,                0.73586,                0.73406,                 1.1134,                0.93304,                0.92127,                0.95849,                0.80161,                0.68573,                0.45129,                 1.1552,               0.004951,               0.004951,               0.004951
                     53,                0.73939,                0.73154,                 1.1159,                0.93515,                 0.9217,                 0.9609,                0.80371,                0.67733,                 0.4394,                 1.1512,               0.004852,               0.004852,               0.004852
                     54,                0.72992,                0.72158,                 1.1131,                0.93864,                0.91347,                0.96014,                0.80378,                0.67474,                0.44323,                 1.1493,               0.004753,               0.004753,               0.004753
                     55,                0.73403,                0.72071,                 1.1149,                0.91411,                0.92502,                 0.9577,                0.80404,                0.66903,                0.44749,                 1.1428,               0.004654,               0.004654,               0.004654
                     56,                0.73155,                0.71344,                 1.1112,                0.92556,                0.92186,                0.95795,                0.80012,                0.67811,                0.44449,                 1.1463,               0.004555,               0.004555,               0.004555
                     57,                0.73173,                0.71804,                 1.1128,                0.93623,                0.91776,                0.96091,                0.80286,                0.67889,                0.43351,                 1.1513,               0.004456,               0.004456,               0.004456
                     58,                0.71746,                0.69391,                    1.1,                0.91449,                0.92026,                0.95391,                  0.799,                0.67601,                0.44361,                 1.1456,               0.004357,               0.004357,               0.004357
                     59,                0.72283,                0.70748,                 1.1065,                0.92033,                0.92532,                0.95652,                0.80352,                0.67077,                0.43848,                 1.1441,               0.004258,               0.004258,               0.004258
                     60,                0.71911,                0.69188,                 1.1032,                 0.9251,                0.92617,                0.95848,                0.80428,                0.67585,                  0.435,                 1.1531,               0.004159,               0.004159,               0.004159
                     61,                0.70984,                0.69212,                 1.0988,                0.92955,                0.91249,                0.95984,                0.80594,                0.67506,                0.43808,                 1.1514,                0.00406,                0.00406,                0.00406
                     62,                0.71182,                0.68895,                 1.1037,                0.93432,                0.91909,                0.96054,                0.80688,                0.67214,                0.43452,                 1.1492,               0.003961,               0.003961,               0.003961
                     63,                0.70976,                 0.6871,                 1.0982,                0.91366,                0.91968,                0.95545,                0.80014,                0.66789,                0.44229,                 1.1446,               0.003862,               0.003862,               0.003862
                     64,                 0.6989,                0.67437,                 1.0922,                0.91573,                0.92975,                0.95613,                0.80124,                0.66997,                0.43866,                 1.1473,               0.003763,               0.003763,               0.003763
                     65,                0.70341,                0.67103,                 1.0977,                0.92894,                0.91934,                0.95319,                0.80213,                0.66871,                0.44118,                 1.1451,               0.003664,               0.003664,               0.003664
                     66,                0.70619,                0.67536,                 1.0944,                0.93433,                0.91786,                0.95778,                0.80484,                0.66878,                0.43263,                 1.1432,               0.003565,               0.003565,               0.003565
                     67,                0.70408,                0.68271,                 1.0952,                 0.9257,                0.92561,                0.95789,                0.80406,                0.66852,                 0.4309,                 1.1462,               0.003466,               0.003466,               0.003466
